 LAMMPS data file for ring polymer of length 200
 
         200 atoms
         201 bonds
 
           2 atom types
           1 bond types
 
 Masses
 
           1   1.00000000    
           2   1.00000000    
 
 Atoms
 
         131           0           2  -1.0961677186950147       -2.2232432652520178       -3.1029921921585668                0           0           0
         132           0           2  -1.0815711275072215       -1.3515970766844698       -2.7320050439310277                0           0           0
         133           0           2  -1.1654726933135349      -0.94108567456447823       -1.9062324025035524                0           0           0
         134           0           2  -1.2090607805634310       -1.9620477355989727       -1.6722588454391591                0           0           0
         135           0           2  -1.3182575339809119       -1.5238972115342919      -0.78109857841846608                0           0           0
         136           0           2 -0.56673127405058232       -1.5978662514063777      -0.25771386171238109                0           0           0
         137           0           2 -0.38966077836325413       -1.3057764892802881       0.66174101981426714                0           0           0
         138           0           2  -1.2649657030403971       -1.6187599070141929       0.31079801090281756                0           0           0
         139           0           2  -1.2263271307045664       -2.3084920656697765      -0.52814370748946005                0           0           0
         140           0           2  -1.5756786485151455       -3.1465470705098646       0.12491486135759203                0           0           0
         141           0           2 -0.74406571015036949       -3.7565808785501904       0.47205563293921177                0           0           0
         142           0           2 -0.67122660717048233       -2.8813736302759327       0.95430222149647304                0           0           0
         143           0           2  0.29433974842728183       -2.5266880550525195        1.3219526516588380                0           0           0
         144           0           2 -0.48761011481443406       -2.1205443199745475        1.7283853739039701                0           0           0
         145           0           2  0.10048765832407888       -2.9712855128655788        2.0569004309497068                0           0           0
         146           0           2 -0.76215914213647884       -3.1754276688660812        2.3063300396087154                0           0           0
         147           0           2 -0.36468032117674032       -2.3840944105562887        2.7906182011947518                0           0           0
         148           0           2 -0.91531027581182500       -1.8547650287857076        3.3138800478636026                0           0           0
         149           0           2  -1.7360325154146992       -2.0612322176711144        2.7913697705782829                0           0           0
         150           0           2  -1.2161618032986565       -2.1000694835163913        2.1111455205846816                0           0           0
         151           0           2 -0.92407753244391488       -1.2198041890124507        2.3562236748755030                0           0           0
         152           0           2  -1.2691370611473451      -0.84537824463131805        1.4834070961505936                0           0           0
         153           0           2 -0.81304428362338343      -0.28703070819619503       0.78341661527476569                0           0           0
         154           0           2  -1.3762443876525251E-002 -0.25841137541400871       0.31631866799729558                0           0           0
         155           0           2 -0.11894846291600374      -0.32177809061886897      -0.65069369567030255                0           0           0
         156           0           2  0.22588697657284040      -0.58672580382496253       -1.4148801843128864                0           0           0
         157           0           2   8.4484808753658533E-002  -1.2395216212725999       -2.0654754994303186                0           0           0
         158           0           2  0.43940115082841735       -1.6781370459222891       -2.9197638443703418                0           0           0
         159           0           2 -0.18432264424574102       -2.4067855211238394       -2.8130728012595747                0           0           0
         160           0           2 -0.96365075320130900       -2.9883686311968658       -2.2831855327426780                0           0           0
         161           0           2 -0.24676457842189112       -3.2704102573033502       -1.7036389149641820                0           0           0
         162           0           2  0.74469843771805666       -3.1687528589444347       -1.4678376007456964                0           0           0
         163           0           2  0.67855830421402108       -2.6658675061139796       -2.4459226296341128                0           0           0
